Team,Stadium,Location
Fulham,Craven Cottage,Stevenage Rd Fulham 
Burnley,Turf Moor,Harry Potts Way Burnley 
Man City,Etihad Stadium,Ashton New Rd Manchester 
Crystal Palace,Selhurst Park,Selhurst London 
Liverpool,Anfield,Anfield Rd Liverpool 
West Ham,London Stadium,Queen Elizabeth Olympic Park London 
West Brom,The Hawthorns,Birmingham Rd West Bromwich 
Spurs,Tottenham Hotspur Stadium,High Rd London 
Sheffield Utd,Bramall Lane,Bramall Ln Sheffield 
Brighton,Amex Stadium,Village Way Brighton 
Everton,Goodison Park,Goodison Rd Liverpool 
Leeds,Elland Road,Elland Rd Leeds 
Man Utd,Old Trafford,Sir Matt Busby Way Manchester 
Arsenal,Emirates Stadium,Hornsey Rd London 
Southampton,St. Mary's Stadium,Britannia Rd Southampton 
Newcastle,St. James' Park,Barrack Rd Newcastle 
Chelsea,Stamford Bridge,Fulham Rd London 
Leicester,King Power Stadium,Filbert Way Leicester 
Aston Villa,Villa Park,Trinity Rd Birmingham 
Wolves,Molineux Stadium,Waterloo Rd Wolverhampton 
